start_time,end_time,meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,q10,q20,q30,q40,q50,q60,q70,q80,q90,spanOfGroup,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_to,network_from,network_both,network_to_external,network_local,anonymous_source_destination,device,state
1556302498.652492,1556302526.245658,157.10566356720201,54,1514,4.447806655516806,6.049656683969826,49.09769912372517,104.0,105.0,106.0,106.0,107.0,110.0,128.0,162.4000000000001,313.0,27.5931658744812,0.019938731191885037,0.0022563787113134676,0.010027,46.74578377616729,6.367903225113327,0,0,0,1183,0,0,cloudcam,alexa_watch
1556302498.6633172,1556302526.245658,160.42941673710905,54,1514,5.930408874022408,6.15709244455333,52.539822147207396,104.0,105.0,106.0,106.0,107.0,112.0,128.0,168.0,313.0,27.582340717315674,0.016418476754015216,0.0013089791794764051,0.009839,85.0387583552841,8.41196329727503,0,0,0,1183,0,0,cloudcam,alexa_watch
1556302498.652492,1556302526.245658,158.06339814032123,54,1494,4.447806655516806,5.481309928024146,49.777648131608295,104.0,105.0,106.0,106.0,107.0,110.0,128.0,305.0,313.79999999999995,27.5931658744812,0.01741495012679628,0.0011461171030017407,0.01045,38.90737033870761,5.8192141047751305,0,0,0,1183,0,0,cloudcam,alexa_watch
1556302498.700983,1556302526.244997,159.4023668639053,54,1498,4.447806655516806,5.9315590971833085,47.24223077247296,104.0,105.0,105.0,106.0,107.0,108.0,128.0,164.0,314.0,27.54401397705078,0.01860740067624683,0.0016691484062132651,0.010251,44.57774570801938,6.1802193334675115,0,0,0,1183,0,0,cloudcam,alexa_watch
1556302498.652492,1556302526.245658,169.36855452240067,54,1514,5.930408874022408,5.736953726724451,40.274873451218646,104.0,105.0,106.0,106.0,107.0,112.0,128.0,308.0,314.0,27.5931658744812,0.0188091056635672,0.0018276435976478783,0.009943,53.81156926140677,6.68994127382924,0,0,0,1183,0,0,cloudcam,alexa_watch
1556302498.652492,1556302526.245658,169.60355029585799,54,1514,5.930408874022408,5.776931240906225,38.956221806257666,104.0,105.0,106.0,107.0,107.0,116.0,128.0,303.6,314.0,27.5931658744812,0.017989885038038885,0.0014114437461627456,0.010579,68.88995773766378,7.277815451559336,0,0,0,1183,0,0,cloudcam,alexa_watch
1556302498.652492,1556302526.244997,154.93322062552832,54,1514,4.447806655516806,6.122043231507331,60.52834578621593,104.0,105.0,106.0,106.0,107.0,112.0,128.0,164.0,313.0,27.59250497817993,0.019341167371090446,0.001737554490166549,0.010413,53.8350987525819,6.581932783514574,0,0,0,1183,0,0,cloudcam,alexa_watch
1556302498.652492,1556302526.245658,165.40828402366864,54,1514,4.447806655516806,6.071642892134859,45.29279803436462,104.0,105.0,106.0,106.0,107.0,112.0,128.0,249.00000000000307,313.0,27.5931658744812,0.021176244294167368,0.0024852672854825714,0.010425,40.755203741493034,5.928555968218869,0,0,0,1183,0,0,cloudcam,alexa_watch
1556302498.6633172,1556302526.245658,151.19864750633982,54,1514,4.447806655516806,6.402351668048618,65.82459516944962,104.0,105.0,106.0,106.0,107.0,112.0,128.0,160.0,312.0,27.582340717315674,0.01916808284023669,0.0018941068840218967,0.010545,51.96507008644747,6.669236469364997,0,0,0,1183,0,0,cloudcam,alexa_watch
1556294307.839374,1556294335.382878,177.36028368794325,54,1502,19.273828840572826,5.277480735520638,39.5866132398161,100.0,101.0,102.0,103.0,112.0,128.0,164.0,310.0,314.0,27.543503999710083,0.015803561702127662,0.0003923178731079716,0.010257,7.4995510026263545,2.415351755094137,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.839374,1556294335.430512,175.45602836879434,54,1486,19.273828840572826,5.408953483054116,43.100566295695536,100.0,101.0,102.0,103.0,112.0,128.0,162.0,309.0,314.0,27.591137886047363,0.015484881560283688,0.0003305529386992339,0.010509000000000001,6.528180510036606,2.2474184510535875,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.9309652,1556294335.374312,173.6631205673759,54,1502,32.61724880712324,4.762224067725499,42.00010880045981,100.0,101.0,102.0,103.0,122.0,128.0,164.0,310.0,315.0,27.443346738815308,0.016659585815602836,0.00040963913836771914,0.010884,8.357366062471385,2.4509692025830145,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.839374,1556294335.374312,173.2695035460993,54,1502,32.61724880712324,5.5386163624897895,46.2691640179772,100.0,101.0,102.0,103.0,122.0,128.0,164.0,309.0,314.0,27.534937858581543,0.015244333333333335,0.00037082376635154954,0.010180499999999999,13.365140017461744,3.007322977346086,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.839374,1556294335.430512,173.5432624113475,54,1482,19.273828840572826,5.121021488838231,43.97947565983881,100.0,101.0,102.0,103.0,112.0,128.0,164.0,309.0,314.0,27.591137886047363,0.015811152482269504,0.00039210138074536287,0.010291,10.18729601491985,2.71414836658932,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.956758,1556294335.430512,170.64255319148936,54,1486,19.273828840572826,4.800236127599252,43.993720940712,100.0,101.0,101.0,103.0,112.0,128.0,160.0,309.0,314.0,27.473753929138184,0.01534236595744681,0.00037085720183901056,0.009692,12.239355452788713,2.8024831230157754,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.8400748,1556294335.430512,172.5290780141844,54,1482,20.015129949825628,5.009932260369936,45.78869253881699,100.0,100.0,101.0,103.0,112.5,128.0,164.0,309.0,314.0,27.590437173843384,0.015283285815602838,0.0003250352793100187,0.0099045,7.577729686056525,2.3706625278854183,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.8400748,1556294335.430512,179.28936170212765,54,1502,32.61724880712324,5.251250590706294,39.958668588714204,100.0,100.0,102.0,103.0,122.0,128.0,164.0,310.0,314.0,27.590437173843384,0.01615715390070922,0.0003596285950614646,0.010673,6.520808647560624,2.237537559453799,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.8400748,1556294335.403814,174.26879432624114,54,1486,32.61724880712324,5.095716197585464,44.505767008207016,100.0,101.0,101.69999999999999,103.0,122.0,128.0,164.0,309.0,314.0,27.56373929977417,0.016577614184397165,0.0004240547315586348,0.010557,8.431903076989308,2.5073909134502257,0,0,0,1410,0,0,cloudcam,alexa_watch
1556294307.839374,1556294335.430512,176.3113475177305,54,1502,32.61724880712324,5.348396510298969,41.89167833733064,100.0,101.0,102.0,103.0,122.0,128.0,162.0,310.0,314.0,27.591137886047363,0.015677017021276596,0.0003415967846924,0.010682,12.94228942105567,2.781820355834206,0,0,0,1410,0,0,cloudcam,alexa_watch
1556305249.2791102,1556305276.679533,162.27427597955707,54,1482,2.965204437011204,5.345057741808511,44.479298429905924,99.0,101.0,101.0,101.0,101.0,122.0,132.0,307.4000000000001,313.0,27.40042281150818,0.019802607325383303,0.002125749974315411,0.0099925,37.89827041364625,5.7493133612930905,0,0,0,1174,0,0,cloudcam,alexa_watch
1556305249.1879468,1556305276.684096,158.9207836456559,54,1486,2.965204437011204,5.859139605288755,52.46432477889697,99.0,101.0,101.0,101.0,101.0,116.0,132.0,303.4000000000001,313.0,27.49614930152893,0.01880405962521295,0.0014627073959810962,0.010066,32.6474959042768,5.198653983525293,0,0,0,1174,0,0,cloudcam,alexa_watch
